rank,caption,score,precision,count,unfunny,somewhat_funny,funny
1,I'd better give it a little longer. It's a really tough case.,2.0858858858858857,0.013069120845337802,3330.0,816.0,1412.0,1102.0
2,"He told me to cook the books, but didn't say for how long.",1.9918559794256323,0.011037309663413734,4666.0,1345.0,2014.0,1307.0
3,Something tells me that there are two prime rib steaks sitting on my desk.,1.979290592641551,0.01183695067117542,4539.0,1491.0,1651.0,1397.0
4,What makes you think I quit my job?,1.9683756588404409,0.016560289565837858,2087.0,631.0,891.0,565.0
5,Hopefully cooking the books works better than laundering the money.,1.9678502879078688,0.016852367355941818,2084.0,651.0,849.0,584.0
6,"No, I won't be going back to work on Monday. Why do you ask?",1.9645320197044336,0.01196921240488906,4060.0,1255.0,1694.0,1111.0
7,Cases like this are rare.,1.9494300518134715,0.011207563130492334,4825.0,1590.0,1889.0,1346.0
8,Dinner will be brief tonight.,1.9486055776892441,0.015144399456481024,2510.0,790.0,1059.0,661.0
9,How often do you turn over your portfolio?,1.938155136268344,0.014230020341128543,2862.0,923.0,1193.0,746.0
10,"Not really sure,my boss just said, ""Put it on the back burner.""",1.937221269296741,0.014027834394371963,2915.0,933.0,1232.0,750.0
11,I roast my case.,1.8966455122393475,0.011889094544866231,4412.0,1627.0,1614.0,1171.0
12,I normally love grilling but this feels like work.,1.8699264182292905,0.011856894768531813,4213.0,1557.0,1647.0,1009.0
13,"I should've said, 'I'll eat my hat.'",1.84375935348698,0.013227496096103492,3341.0,1278.0,1307.0,756.0
14,It's lambskin. I think a Merlot would go better.,1.8361059765865682,0.013118806963524394,3246.0,1216.0,1346.0,684.0
15,"No Dear, it's not done until it opens.",1.8220112726194009,0.013132451603771848,3371.0,1333.0,1305.0,733.0
16,I got this recipe from one of Martha Stewart's old accountants.,1.8024017467248907,0.014809952805399115,2748.0,1153.0,985.0,610.0
17,Two words I never hear at the office: Well done.,1.7931896282411746,0.013623342890867396,3201.0,1350.0,1163.0,688.0
18,Go shred some paper for the salad.,1.7929036929761042,0.020676701305230662,1381.0,580.0,507.0,294.0
19,So my last report wasn't well done? Wait'll he sees this one.,1.7774936061381077,0.01557106579420384,2346.0,986.0,896.0,464.0
20,You want files with that?,1.7693164933135217,0.015035879493425662,2692.0,1201.0,911.0,580.0
21,They just told me to cook the books.,1.7683863885839737,0.02451270612307012,911.0,379.0,364.0,168.0
22,Ask the kids how they want their backpacks.,1.7600299962504686,0.015235459357006447,2667.0,1222.0,863.0,582.0
23,"The secret is to stuff it with mindless paperwork, and slather it with years of misery and stress",1.750537634408602,0.020748789865516308,1395.0,636.0,471.0,288.0
24,"It's free range, grass-fed brief",1.7476190476190476,0.055588528660650366,210.0,101.0,61.0,48.0
25,Should I get started on the white collared greens?,1.7435897435897436,0.022753105938149474,1131.0,513.0,395.0,223.0
26,Did something happen at work today that you need to tell me about?,1.7409168081494055,0.013393628834822823,2945.0,1258.0,1192.0,495.0
27,I think my work here is done.,1.7377850162866448,0.01494739105578316,2456.0,1080.0,940.0,436.0
28,Remember when you burned your bra?,1.7341772151898731,0.015838589693349232,2449.0,1164.0,772.0,513.0
29,Didn’t we cook the books last quarter?,1.7316144154702608,0.012834224281025274,3413.0,1540.0,1249.0,624.0
30,"Honey, are you cooking the books again?",1.7285048708174502,0.01529197162767562,2361.0,1059.0,884.0,418.0
31,"Regardless, Muriel, a cow died.",1.7124243834341557,0.016575701961863937,2149.0,1032.0,703.0,414.0
32,I never can tell for sure if it's done on the inside.,1.7116477272727273,0.019155681812360527,1408.0,625.0,564.0,219.0
33,I know they're vegan. It's pleather.,1.6952153110047847,0.01692624517040181,2090.0,1041.0,645.0,404.0
34,The key is to let it marinate for five years in a miasma of unfulfilled ambitions.,1.688073394495413,0.018014705266525845,1853.0,936.0,559.0,358.0
35,Be done in a jiffy. It's only a brief case.,1.6822916666666667,0.030734731441602662,576.0,277.0,205.0,94.0
36,"I think he said grilled beef not brief, Sweetheart.",1.6774683544303797,0.015931664937874568,1975.0,916.0,780.0,279.0
37,There's something to be said for a job well done.,1.6692307692307693,0.0658764691498561,130.0,65.0,43.0,22.0
38,"Well, that's the last of the IRS agent.",1.6660929432013771,0.02288335592466769,1162.0,612.0,326.0,224.0
39,"So, you didn't say brief bisket?",1.6625463535228675,0.026379476143487297,809.0,410.0,262.0,137.0
40,Samsonite has all the flavor of Hermès but at a fraction of the price.,1.6501035196687368,0.01922653939361604,1449.0,730.0,496.0,223.0
41,I prefer mine with just a little pink slip in the middle.,1.6434782608695653,0.030344836464717955,575.0,291.0,198.0,86.0
42,"We call it ""Cooking the books.""",1.641732283464567,0.019927522494337945,1270.0,629.0,467.0,174.0
43,I don't get it. My father made a fortune cooking the books.,1.6406721240844464,0.014967518399682309,2321.0,1170.0,815.0,336.0
44,"Maybe he said, 'beef steaks.'",1.6305,0.016465735186064687,2000.0,1048.0,643.0,309.0
45,"How do you like yours? Rare, medium, or impervious to forensic audit?",1.62873399715505,0.028258998327743937,703.0,376.0,212.0,115.0
46,There is nothing like the satisfaction of a job well done.,1.6164874551971329,0.0210974102847466,1116.0,573.0,398.0,145.0
47,"Am I making a bold statement here, Edith, or am I just drunk?",1.6084905660377358,0.029836135735890192,636.0,353.0,179.0,104.0
48,It was a cold case.,1.5988446726572532,0.018072188322405983,1558.0,834.0,515.0,209.0
49,"Don't ask me about my business, Kay. Don't ever ask me about my business.",1.5988225399495375,0.02131306991344188,1189.0,655.0,356.0,178.0
50,It's an old Enron recipe,1.5986577181208053,0.027031004683222285,745.0,412.0,220.0,113.0
51,Everything at work is fine. Why do you ask?,1.5896757114493714,0.01867352865356401,1511.0,835.0,461.0,215.0
52,Are you planning on doing this to everything you got from the Trump store?,1.58560794044665,0.03815075628049645,403.0,236.0,98.0,69.0
53,All the juicy stuff is on the inside.,1.5700609225413402,0.020150852257074026,1149.0,621.0,401.0,127.0
54,I like a job that's well done.,1.5659037095501185,0.019552962624933487,1267.0,701.0,415.0,151.0
55,How was your day?,1.5656370656370655,0.03111462648836189,518.0,291.0,161.0,66.0
56,If I'm going to have to eat my words they're going to be grilled to perfection.,1.5551181102362204,0.030745037234938363,508.0,285.0,164.0,59.0
57,"They said to case the place FROM the BBQ, NOT place the case ON the BBQ.",1.5540661304736372,0.022377796159290368,1119.0,674.0,270.0,175.0
58,Hotdogs!! Just in case.,1.5453686200378072,0.023665659526194226,1058.0,663.0,213.0,182.0
59,"No matter how intense the grilling, my case holds up!",1.54510556621881,0.02202878181547711,1042.0,608.0,300.0,134.0
60,They know I'm cooking the books... this will help with the insanity defense!,1.5430107526881718,0.04945383599047753,186.0,104.0,63.0,19.0
61,"Laptop in the microwave, cellphone in the blender. Did I forget anything?",1.5395348837209302,0.03348433626440474,430.0,248.0,132.0,50.0
62,I think this case is about to heat up.,1.5384615384615383,0.02277601503160956,897.0,511.0,289.0,97.0
63,It's a trick my accountant showed me.,1.5378440366972477,0.02353668712159898,872.0,505.0,265.0,102.0
64,In my mind I was always imagining a big fancy retirement party.,1.5313315926892948,0.025221016304534657,766.0,450.0,225.0,91.0
65,The recipe said to start off with a brief searing.....,1.5291411042944785,0.026158849922265626,652.0,371.0,217.0,64.0
66,"It's the smell of success, Joan.",1.5287356321839085,0.02494808307893975,783.0,462.0,228.0,93.0
67,I'm afraid this means the boss is reviewing a bunch of hamburger patties tonight.,1.525982256020279,0.025450631759878488,789.0,477.0,209.0,103.0
68,You wanted me to barbecue this weekend and my boss wanted me to work. This seems like an acceptable compromise.,1.5066889632107023,0.026645771794445224,598.0,347.0,199.0,52.0
69,Oh yeah? I'll show YOU fired!,1.5061349693251531,0.027067538762464767,652.0,396.0,182.0,74.0
70,"So then I said, 'If you win, I'll eat my briefcase.'",1.5056360708534622,0.02654162056726257,621.0,365.0,198.0,58.0
71,The recipe said to cook it briefly.,1.5054432348367033,0.026810716601525474,643.0,386.0,189.0,68.0
72,"Personally, I would have removed the severance check.",1.5050167224080269,0.02867181329910208,598.0,368.0,158.0,72.0
73,Maybe we should just get a shredder.,1.5024077046548956,0.028363609646842605,623.0,388.0,157.0,78.0
74,"The instructions said ""Brown brief case.""",1.5016233766233766,0.027476022922998267,616.0,373.0,177.0,66.0
75,Because the house will smell for days if I put it in the oven.,1.5,0.03353869627907385,430.0,265.0,115.0,50.0
76,My interview? Why do you ask?,1.4991334488734835,0.02851565520839478,577.0,352.0,162.0,63.0
77,"I'd butterfly it, but I forgot the combination.",1.4986807387862795,0.037246660728976234,379.0,242.0,85.0,52.0
78,I know what my boss meant by 'cook the books.' I'm being passive-aggressive.,1.4969512195121952,0.03739645349864143,328.0,199.0,95.0,34.0
