rank,caption,score,precision,count,unfunny,somewhat_funny,funny
1,"When I asked you to line up a meeting with the Department Chairs, this is not what I meant.",1.9525032092426189,0.03015871729638605,779.0,295.0,226.0,258.0
2,Are you willing to relocate?,1.809756097560976,0.038079685792981134,410.0,168.0,152.0,90.0
3,Where do you see yourself five chairs from now?,1.7979274611398963,0.041034855631320866,386.0,172.0,120.0,94.0
4,"Actually, we were looking for someone a bit more aggressive.",1.7460815047021945,0.04193997841916307,319.0,140.0,120.0,59.0
5,"At one point I had them in a semicircle, but it gave people a sense of equality.",1.7452830188679245,0.0436840744493621,318.0,147.0,105.0,66.0
6,Martin realized he was facing some fierce competition for the ghost writer position.,1.7290969899665551,0.04726556396260157,299.0,151.0,78.0,70.0
7,For $25 you can upgrade to the Business Class interview.,1.7132616487455197,0.04641014766505572,279.0,135.0,89.0,55.0
8,"As you can see, we do things differently here at Pez.",1.6920152091254752,0.04967797965147532,263.0,138.0,68.0,57.0
9,Obviously you weren't my first choice.,1.6823529411764706,0.04670237086181458,255.0,124.0,88.0,43.0
10,What makes you think you were not our first choice?,1.6811023622047243,0.04517924480754086,254.0,119.0,97.0,38.0
11,I'm looking for someone with whom I can work closely--but not too closely.,1.6785714285714286,0.0437312057208088,252.0,114.0,105.0,33.0
11,"To be honest, you weren't our first choice for this position.",1.6785714285714286,0.046872106156890775,252.0,123.0,87.0,42.0
13,You weren't our first choice.,1.6746987951807228,0.04806304602780896,249.0,125.0,80.0,44.0
14,Where do you see yourself sitting in five years?,1.6720647773279351,0.04561645011154224,247.0,117.0,94.0,36.0
15,"I'm afraid this is the end of the line for you, Jenkins.",1.6666666666666667,0.04796621416637512,246.0,124.0,80.0,42.0
16,"The good news is, there's room for advancement.",1.6625,0.04643168449415906,240.0,116.0,89.0,35.0
17,Thank you for lining up a meeting with the department chairs.,1.6582278481012658,0.052355728983919686,237.0,131.0,56.0,50.0
18,"As you can see, we have plenty of advancement opportunities.",1.6567796610169492,0.045178484147901016,236.0,111.0,95.0,30.0
18,"So, how's the assertiveness training course going?",1.6567796610169492,0.048637985876013014,236.0,120.0,77.0,39.0
20,In which chair do you see yourself sitting in five years?,1.655,0.04992330801756915,200.0,96.0,77.0,27.0
21,"I have good news and bad news, Agent 008.",1.651063829787234,0.05212125727520616,235.0,130.0,57.0,48.0
22,Correct. Advance one chair.,1.6415929203539823,0.04650393594081753,226.0,110.0,87.0,29.0
23,"I must admit, you weren't our first choice.",1.6330275229357798,0.04519863239914945,218.0,103.0,92.0,23.0
24,"For an additional $75, you can upgrade your interview from economy to first class.",1.6261682242990654,0.05046696470399458,214.0,113.0,68.0,33.0
24,"Well, you're remotely qualified.",1.6261682242990654,0.049145535092186,214.0,110.0,74.0,30.0
24,"Norm, this isn't what I meant about lining up a meeting.",1.6261682242990654,0.05046696470399458,214.0,113.0,68.0,33.0
27,Where do you see yourself in seven chairs?,1.625,0.050540787802494866,216.0,115.0,67.0,34.0
28,"I won't lie, you are not my first choice.",1.6208530805687205,0.0497495978682245,211.0,110.0,71.0,30.0
28,"I have a risky assignment for you, 008.",1.6208530805687205,0.05367728877558784,211.0,119.0,53.0,39.0
30,We got rid of middle management.,1.619047619047619,0.05040817885890854,210.0,111.0,68.0,31.0
31,"I'm afraid it's the end of the line for you, Mr. Jones.",1.6153846153846154,0.04943727591670394,208.0,108.0,72.0,28.0
32,And you must be Mr. Zyzzik,1.6111111111111112,0.05524705401907773,198.0,113.0,49.0,36.0
33,"Yes, I rowed in college. How did you know?",1.6097560975609757,0.05053053960649849,205.0,109.0,67.0,29.0
