caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
"Take the picture, dammit, take the picture!",83.0,103.0,174.0,360.0,1.7472222222222222,0.04255071638695995,1,524
If I don't kill you the smoking will.,35.0,79.0,99.0,213.0,1.699530516431925,0.05041460511396602,2,524
"Remember, it’s ‘Touché!’ not ‘Flambé!’",33.0,59.0,96.0,188.0,1.6648936170212767,0.05539715261572396,3,524
This seems to be a case of reptile dysfunction.,44.0,62.0,121.0,227.0,1.6607929515418502,0.052030063848946234,4,524
Are you licensed to carry small arms?,49.0,92.0,147.0,288.0,1.6597222222222223,0.04436020556760984,5,524
Don't give me that endangered species crap!,41.0,63.0,119.0,223.0,1.6502242152466369,0.05177679441419754,6,524
Harry has his usual dream before his mother-in-law's visit.,49.0,81.0,152.0,282.0,1.6347517730496457,0.04540680848490072,7,524
Did your momma tell you there would be knights like this?,37.0,69.0,124.0,230.0,1.6217391304347826,0.049314900914516534,8,524
"Smoke-blowing, tiny hands - I know a Trumpasaurus when I see one!",37.0,43.0,110.0,190.0,1.6157894736842104,0.05755450519945207,9,524
"Trust me, this is wrong on so many levels.",39.0,27.0,106.0,172.0,1.6104651162790695,0.06358150040716379,10,524
just as I suspected all puff no magic,31.0,61.0,113.0,205.0,1.6,0.05156563609073754,11,524
Hold your fire!,26.0,52.0,100.0,178.0,1.5842696629213484,0.054979886171730816,12,524
Maybe the song was about pot after all.,25.0,45.0,94.0,164.0,1.5792682926829267,0.05801388592797364,13,524
"Blowhard. Tiny hands. Republican, right?",24.0,34.0,90.0,148.0,1.554054054054054,0.062346545412954216,14,524
Smoking is bad for your lunge.,17.0,41.0,80.0,138.0,1.5434782608695652,0.06007820040325065,15,524
"It must be June, the Knights keep getting shorter.",23.0,24.0,84.0,131.0,1.5343511450381682,0.06793464262988393,16,524
It's a fair fight as long as you keep your mouth shut.,14.0,36.0,70.0,120.0,1.5333333333333334,0.0636575807088154,17,524
"On second thought, let's go with rock paper scissors.",12.0,46.0,74.0,132.0,1.5303030303030305,0.057352526327329185,18,524
"Not to be a nag, but if I don't kill you, all that smoking certainly will.",15.0,43.0,80.0,138.0,1.5289855072463767,0.05835651470193288,19,524
I'm sorry I said you had small hands.,16.0,34.0,76.0,126.0,1.5238095238095235,0.0634603095198388,20,524
These things tend to dragon.,14.0,28.0,68.0,110.0,1.509090909090909,0.06803013430498075,21,524
I knew Saint George. You're no Saint George.,17.0,24.0,73.0,114.0,1.5087719298245614,0.06964948063654304,22,524
"Hey, LOTS of dragons have projectile dysfunction.",14.0,31.0,71.0,116.0,1.5086206896551724,0.06536220115331229,23,524
"It's parry and thrust, not parry, thrust and singe. There is NO singe. Now, once again....",14.0,34.0,74.0,122.0,1.5081967213114753,0.0629469808701725,24,524
This princess better be worth it.,12.0,39.0,74.0,125.0,1.504,0.059702488195838135,25,524
It suddenly dawned on Sir Desmond that Second Hand Smoke was the least of his worries.,12.0,27.0,63.0,102.0,1.5,0.06931733011254311,26,524
If I don't get you the smoking will.,13.0,30.0,69.0,112.0,1.5,0.06590621627456203,26,524
Touche or Flambe?,10.0,33.0,63.0,106.0,1.5,0.06463665812929989,26,524
I'll teach you to frolick in the autumn mist!,23.0,17.0,87.0,127.0,1.4960629921259845,0.06970397863769469,29,524
Your technique is good but I'm not sensing any fire in the belly.,14.0,28.0,71.0,113.0,1.4955752212389382,0.06666601404123612,30,524
For all this effort you better taste like chicken.,11.0,50.0,85.0,146.0,1.4931506849315068,0.05256444441333283,31,524
I can't believe you're still smoking.,10.0,30.0,62.0,102.0,1.4901960784313726,0.06645048141392826,32,524
Rules are rules...You can't bring fire to a knifefight,13.0,37.0,79.0,129.0,1.4883720930232558,0.059385866069940174,33,524
"You know the rules: fire beats shield, shield beats sword, sword beats fire.",15.0,27.0,75.0,117.0,1.4871794871794872,0.06606200658715522,34,524
"Ok, she's looking over, act like you're super scared, and in pain.",9.0,37.0,67.0,113.0,1.4867256637168142,0.06043856291682185,35,524
I liked it better when you were just my imaginary friend,9.0,31.0,61.0,101.0,1.4851485148514851,0.0654214991551754,36,524
You always get this way when you try to quit smoking.,11.0,34.0,71.0,116.0,1.4827586206896552,0.0618102219809376,37,524
Stop complaining. You got to choose the weapons last time.,9.0,22.0,52.0,83.0,1.4819277108433735,0.07542892489154675,38,524
I'm over with feeling the burn.,14.0,20.0,66.0,100.0,1.48,0.07314024165597863,39,524
"Not so fearsome with your pilot light out, are you?",11.0,31.0,69.0,111.0,1.4774774774774777,0.06379590569488841,40,524
Just as I figured. All smoke and no fire.,9.0,34.0,66.0,109.0,1.4770642201834865,0.06195963177172725,41,524
Sorry I called your wife hot.,12.0,27.0,68.0,107.0,1.4766355140186915,0.06685334316695027,42,524
